cpf,name,latitude,longitude
91947466054,Nolie Gaughan,32.0005346,-80.9760556
34218722013,Toma Arlidge,57.2033415,14.0338655
13251449087,Thorstein De Santos,39.8772715,69.0254926
88580500611,Creigh Vedmore,3.9671435,103.40391
45901171372,Yehudi De Dei,42.56306,20.29083
98278966988,Vanessa Beacroft,-6.712398,106.8945456
76476367046,Paloma Ecclesall,-8.5314465,118.7780987
63754972344,Sharai Masseo,32.0169411,36.0494112
95841466172,Ursulina Aldcorn,38.665105,112.032036
14110129359,Sam Norman,25.566821,-103.4295033
17340900059,Nata Alcalde,40.621506,119.9745295
98695667947,Glenna Halson,22.795672,-82.5131717
76573221554,Fax Drew-Clifton,20.9570351,-75.7197039
33960741218,Helena Francesconi,30.453667,114.872199
50037879369,Ransell Liffe,8.8287071,-82.864463
19886376972,Innis Martinetto,57.1714821,26.7522536
62677339958,Maddie Heineking,6.594633,125.400567
47525873877,Terry Phizaclea,34.9136229,98.2113524
31084692004,Jorry Valder,37.5769503,26.4820926
69828776156,Gasper Pinkie,35.0702051,118.2536287
66418721667,Violette Saker,41.6088994,-8.7234712
15384565080,Tilly Garlant,9.6311842,106.4877072
29026423353,Tammie Fernez,48.1251024,11.5584376
66952790946,Richardo Quarmby,26.709056,113.269441
35548013643,Alvie Nickoles,45.323812,133.4113691
37585998760,Amery Cote,-6.9704825,111.4350413
28271951765,Jenine Sedgeworth,24.117102,117.613808
81033061386,Jarred Mordey,-17.5706623,-65.7698663
49869095724,Earvin Rolinson,-8.7698185,121.3312882
30500307751,Tiffie MacDonell,41.1617715,-8.035514
93735038887,Wendi Lefeaver,39.193073,112.865891
41143494495,Bing Meedendorpe,-7.0453161,108.3311815
88415411264,Gene Wickenden,8.9407376,4.7821043
78342659237,Obediah Pattesall,-7.8013074,111.6541483
27718971058,Brok Bastiman,34.9528346,139.0943433
48075173647,Bertrando Brake,13.1959918,-86.1688177
39110527045,Camel Sibson,-20.9969938,-63.3933089
32152194714,Leah Brellin,35.8614715,36.7981073
62711738228,Adorne Spiteri,62.3926514,17.2942976
26881146020,Kania Mees,18.2480842,120.6207677
42382229722,Ted Briars,-7.2903571,109.0185719
81296593096,Merrile Cleft,40.8276499,140.4491245
80283836508,Rennie Camocke,41.183785,112.375015
77892900400,Alethea Niemiec,38.751115,-9.4574506
21457003149,Ikey Tapper,39.749144,116.143267
35376659993,Glendon Medlar,16.012494,120.2822878
58220368473,Yulma Jakubovitch,-3.4142906,-39.0303806
82395491451,Padgett Carp,27.098536,114.972769
93251656894,Carie Hexter,1.12808,104.0301606
91969309716,Silvain A'Barrow,52.0625106,4.4911369
14814113967,Kennett Sorton,14.6458474,121.0543553
89876733325,Adelina Aggott,45.1150317,15.5854843
64268645658,Layne Walshaw,-6.5816014,111.0683954
48007434163,Idelle De La Coste,35.490701,112.851831
61398491908,Tami Gilston,9.0912455,-79.409706
40957839600,Joe Verny,13.5957,-89.8270894
56622720428,Andonis Ovett,0.5128922,-77.2864879
59254753134,Rafa Capelow,39.8314629,116.3220944
15212917792,Mata Megarry,13.789644,100.5199643
48379620274,Jamima Prestedge,21.4674584,-71.1389101
56809437568,Alexina MacGorley,41.4942587,20.2147157
92337664120,Natasha Cullivan,-15.576624,-72.1293262
65700740530,Perl Rowan,60.1946148,24.9584208
86535285240,Rogers Coggeshall,-6.8686728,107.516493
55018485366,Audre Purkins,-34.5867363,-58.5781741
37903649918,Ada Dampier,31.2289489,121.4584218
62399391325,Karlotte Phillp,51.1981241,18.191303
88145817652,Celestia Oakden,14.5665991,121.0022623
34083946743,Elianore Crippill,31.644606,119.781147
78183707853,Seward Frew,18.6316742,105.629523
17390607011,Evelina Benthall,11.0849336,39.7291837
17345738911,Karna Habeshaw,-18.0580139,13.8361177
61757103822,Shandee Chaudron,49.2686175,-122.9364381
13429838937,Fletcher Skaife d'Ingerthorpe,36.4257359,139.9802454
19386024412,Dun London,31.491169,120.31191
98522421005,Sacha Narracott,26.5241653,-77.0909809
86716679014,Laney Rennebach,-15.2192781,-49.4059435
10740931639,Sarajane Klaffs,36.067108,120.382609
74858420481,Braden Jurgenson,40.5004933,22.9246383
85302648913,Opaline Magovern,32.8676912,-80.017511
87171628158,Hewie Kilbey,0.8639157,-77.5529475
72966305995,Tabbie Palfreman,41.0911538,44.6590356
31492187725,Chelsy Goreway,28.54,-81.38
70173627654,Alden Hebditch,40.797661,120.7511781
19061614461,Leisha Basini-Gazzi,31.6166667,130.3333333
25214173831,Ailyn Gourley,-6.7425823,106.1698563
59642151451,Keane Stocking,-32.968211,-60.6752261
55743739359,Doti Meaden,-8.0796655,113.3049491
68617925016,Sapphira Sange,33.0205233,130.8260172
37932800880,Lavinie De Bernardi,50.9645521,17.2614777
44362932212,Merola Milbourne,28.73733,118.626991
26638389424,Glen Slide,43.4945737,5.8978018
15328566065,Johnny Truin,10.3765284,106.3438891
73316730164,Daren Feavearyear,-7.3254723,108.207356
92938695964,Bertina Kubin,42.9895326,131.8411237
58895981564,Hammad Matthewson,48.9124688,2.3977418
64878461492,Nerte Kitchingman,45.40015,-64.33205
86761365525,Lindsy Renvoys,21.857958,111.982232
96500644044,Brigitta Ceeley,18.5591814,-99.5982999
41438469004,Robbie Jedryka,30.5765383,31.
